taxonID,scientificName
257639,Astraptes
257448,Amblyscirtes
257785,Staphylus
256367,Piruna
148616,Pheraeus
257433,Dalla
257564,Rhinthon
228492,Polites
293881,Saliana
119150,Oarisma
68263,Papilio
58523,Papilio
57463,Papilio
60551,Papilio
51097,Papilio
49972,Battus
58525,Papilio
68232,Papilio
85026,Papilio
50072,Papilio
226950,Papilio
509480,Papilio
47226,Papilio
55521,Papilio
509627,Papilio
83086,Eurytides
68265,Papilio
68239,Parnassius
68275,Battus
148466,Eurytides
148751,Papilio
245945,Papilio
56529,Papilio
258200,Protographium
68279,Parnassius
509631,Papilio
475232,Protesilaus
148837,Papilio
205140,Papilio
258146,Mimoides
509626,Papilio
146840,Papilio
133450,Parides
257945,Battus
258176,Parides
148464,Parides
145586,Papilio
204773,Papilio
154436,Papilio
258197,Protographium
509478,Papilio
258353,Battus
148356,Parides
148465,Eurytides
258178,Parides
258145,Mimoides
226951,Papilio
205905,Eurytides
68281,Parnassius
354946,Papilio
509629,Papilio
227264,Parnassius
85024,Heraclides
81726,Parnassius
148858,Mimoides
81724,Baronia
258067,Eurytides
198801,Pieris
58532,Colias
59119,Pontia
198800,Colias
67653,Phoebis
58531,Colias
59120,Euchloe
55626,Pieris
48550,Phoebis
204775,Kricogonia
148470,Eurema
144187,Pyrisitia
129362,Zerene
51536,Ascia
148672,Itaballia
148488,Dismorphia
81727,Abaeis
148818,Ganyra
67324,Eurema
59124,Anthocharis
51773,Nathalis
258189,Pieriballia
198821,Pieris
122172,Pyrisitia
59118,Pontia
209721,Colias
82481,Pieris
204096,Pontia
81734,Neophasia
117317,Zerene
293998,Lieinix
199298,Anthocharis
62500,Leptophobia
48578,Anteos
122374,Eurema
228118,Pieris
294011,Prestonia
133417,Catasticta
209718,Pontia
225692,Neophasia
117338,Anthocharis
148856,Anteos
130661,Catasticta
69852,Euchloe
148475,Eurema
69844,Anthocharis
117316,Colias
217392,Colias
122377,Pyrisitia
213959,Aphrissa
258187,Perrhybris
81732,Glutophrissa
133416,Phoebis
148463,Phoebis
229681,Pyrisitia
258215,Rhabdodryas
199461,Melete
199292,Colias
217395,Colias
217391,Colias
148487,Enantia
58527,Euchloe
258672,Catasticta
258185,Pereute
132331,Phoebis
217396,Colias
217398,Colias
293980,Enantia
293982,Eucheira
257925,Anthocharis
116699,Eurema
142775,Colias
258363,Ganyra
246087,Hesperocharis
209719,Euchloe
148468,Hesperocharis
258065,Eurema
256372,Ganyra
58539,Satyrium
54009,Lycaena
520407,Icaricia
59126,Lycaena
210423,Callophrys
122381,Cupido
82792,Celastrina
84662,Celastrina
59159,Euphilotes
52484,Celastrina
58556,Celastrina
122382,Cupido
122385,Callophrys
198817,Callophrys
122281,Calycopis
132553,Strymon
362136,Electrostrymon
69940,Hemiargus
520456,Icaricia
56776,Glaucopsyche
346970,Callophrys
53843,Brephidium
50931,Strymon
54024,Satyrium
59134,Satyrium
118914,Echinargus
58543,Callophrys
59138,Satyrium
58534,Lycaena
55655,Lycaena
59152,Leptotes
148834,Strymon
81967,Callophrys
215772,Callophrys
148801,Ministrymon
84239,Callophrys
54081,Erora
144271,Satyrium
81566,Satyrium
81729,Feniseca
50075,Eumaeus
58550,Callophrys
59128,Atlides
484122,Plebejus
122383,Plebejus
117335,Lycaena
520457,Icaricia
59136,Satyrium
59144,Callophrys
127303,Callophrys
127490,Parrhasius
294015,Strymon
117336,Lycaena
59123,Lycaena
69824,Habrodais
225163,Ministrymon
51534,Leptotes
117346,Glaucopsyche
258230,Strymon
293954,Atlides
148839,Brangas
258214,Rekoa
258255,Thereus
209725,Satyrium
59125,Lycaena
148795,Pseudolycaena
198804,Satyrium
58541,Satyrium
126589,Calycopis
520398,Icaricia
196543,Strymon
148497,Rekoa
198803,Satyrium
257932,Arawacus
122365,Callophrys
117345,Euphilotes
56243,Plebejus
219488,Erora
142639,Lycaena
216349,Celastrina
193874,Panthiades
59127,Lycaena
130785,Plebejus
209733,Agriades
117333,Lycaena
117322,Lycaena
122379,Callophrys
198805,Satyrium
367948,Agriades
58536,Lycaena
148769,Evenus
205153,Phaeostrymon
179678,Euphilotes
122384,Plebejus
224167,Lycaena
148849,Rekoa
117360,Icaricia
117339,Callophrys
130300,Callophrys
125537,Zizina
230441,Satyrium
148496,Arawacus
148495,Cyanophrys
258094,Ipidecla
257939,Atlides
205152,Chlorostrymon
148731,Theritas
258330,Gargina
148835,Strymon
121993,Lampides
194335,Strymon
123312,Eumaeus
148734,Cyanophrys
258232,Strymon
258445,Semonina
258211,Rekoa
59135,Satyrium
221964,Hypaurotis
346978,Callophrys
258389,Ostrinotes
219773,Euphilotes
258181,Parrhasius
258370,Laothus
130219,Zizula
148750,Strymon
204641,Electrostrymon
257992,Contrafacia
217941,Cyanophrys
258080,Hemiargus
257940,Aubergina
294004,Micandra
215450,Brephidium
198815,Celastrina
55641,Polyommatus
148491,Oenomaus
82793,Celastrina
148489,Eumaeus
257937,Atlides
59153,Philotes
258170,Panthiades
520392,Strymon
130321,Cyanophrys
257967,Calycopis
258150,Ministrymon
230445,Satyrium
117334,Lycaena
257938,Atlides
210814,Euphilotes
104876,Lycaena
132536,Strymon
258233,Strymon
520381,Icaricia
148781,Parrhasius
258377,Electrostrymon
62587,Euphilotes
215770,Callophrys
60896,Callophrys
256377,Ocaria
113324,Strymon
215771,Callophrys
122013,Udara
258013,Chlorostrymon
122371,Callophrys
485087,Strymon
217940,Cyanophrys
219774,Euphilotes
258260,Tmolus
258168,Paiwarria
258390,Strephonota
148494,Ocaria
293968,Cyanophrys
230444,Satyrium
474836,Iaspis
258391,Strephonota
257968,Calycopis
257969,Calycopis
257933,Arawacus
483726,Agriades
257913,Allosmaitia
230442,Satyrium
218965,Electrostrymon
148493,Ministrymon
258443,Apuecla
219772,Euphilotes
293953,Arcas
257934,Arcas
258261,Tmolus
293995,Janthecla
258048,Erora
148730,Callophrys
224166,Lycaena
258366,Theritas
258384,Nicolaea
258028,Dicya
198816,Callophrys
231838,Strymon
294005,Michaelus
258382,Strymon
258374,Ziegleria
59160,Euphilotes
258387,Theclopsis
129363,Calephelis
148831,Caria
59165,Apodemia
148508,Melanis
119068,Apodemia
181057,Hypophylla
258407,Pirascca
193851,Emesis
148746,Emesis
215703,Calephelis
214020,Apodemia
148667,Calephelis
293955,Baeotis
148808,Anteros
182712,Calephelis
148506,Melanis
214019,Apodemia
205821,Calephelis
124398,Rhetus
294021,Thisbe
214017,Apodemia
148854,Emesis
258452,Calydna
148504,Lasaia
450292,Detritivora
258237,Synargis
205870,Calephelis
293996,Lasaia
258252,Theope
148752,Emesis
293952,Apodemia
148833,Calephelis
148747,Emesis
258133,Mesene
148753,Emesis
148505,Lasaia
148503,Calephelis
258222,Sarota
258137,Mesosemia
472811,Juditha
257929,Apodemia
293961,Calephelis
258136,Mesosemia
484480,Voltinia
312079,Eurybia
258103,Lasaia
257982,Caria
258218,Sarota
214018,Apodemia
215704,Calephelis
258104,Lasaia
258041,Emesis
257914,Ancyluris
142638,Emesis
312080,Eurybia
257898,Adelotypa
148664,Juditha
258250,Theope
197021,Hypophylla
258051,Esthemopsis
293957,Calephelis
293979,Emesis
294070,Behemothia
148838,Emesis
257928,Apodemia
257952,Calephelis
258010,Chalodeta
